code,name,category,description,status,condition
E319,Трет-Бутилгидрохинон,Антиокислители,"Трет-Бутилгидрохинон (Tertiary-butylhydroquinone)",halal,
E320,Бутилгидроксианизол,Антиокислители,"Бутилгидроксианизол (Butylated hydroxyanisole)",halal,
E321,Бутилгидрокситолуол,Антиокислители,"Бутилгидрокситолуол, «Ионол» (Butylated hydroxytoluene",halal,
E322,Лецитины,Антиокислители,"Лецитины, фосфатиды (Lecithins)",halal,
E323,Аноксомер,Антиокислители,"Аноксомер (Anoxomer)",halal,
E325,Лактат натрия,Антиокислители,"Лактат натрия (Sodium lactate)",halal,
E326,Лактат калия,Антиокислители,"Лактат калия (Potassium lactate)",halal,
E327,Лактат кальция,Антиокислители,"Лактат кальция (Calcium lactate)",halal,
E328,Лактат аммония,Антиокислители,"Лактат аммония (Ammonium lactate)",halal,
E329,Лактат магния,Антиокислители,"Лактат магния, DL- (Magnesium lactate, DL-)",halal,
E330,Лимонная кислота,Антиокислители,"Лимонная кислота (Citric acid)",halal,
E331,Цитраты натрия,Антиокислители,"Цитраты натрия (Sodium citrates), Цитрат натрия 1-замещщенный (Sodium dihydrogen citrate), Цитрат натрия 2-замещеннный (Disodium monohydrogen citrate), Цитрат натрия 3-замещеннный (Trisodium citrate)",halal,
E332,Цитраты калия,Антиокислители,"Цитраты калия (Potassium citrates), Цитрат калия 2-замещ- щенный (Potassium dihydrogen citrate), Цитрат калия 3-замещеннный (Tripotassium citrate)",halal,
E333,Цитраты кальция,Антиокислители,"Цитраты кальция (Calcium citrates)",undefined,
E334,Винная кислота,Антиокислители,"Винная кислота, L(+)- (Tartaric acid, L(+)-)",halal,
E335,Тартраты натрия,Антиокислители,"Тартраты натрия (Sodium tartrates), Тартрат натрия 1-заммещенный (Monosodium tartrate), Тартрат натрия 2-замещенный (Disodium tartrate)",undefined,
E336,Тартраты калия,Антиокислители,"Тартраты калия (Potassium tartrates), Тартрат калия 1-заммещенный (Monopotassium tartrate), Тартрат калия 2-замещеннный (Dipotassium tartrate)",halal,
E337,Тартрат калия-натрия,Антиокислители,"Тартрат катия-натрия (Potassium sodium tartrate)",halal,
E338,Орто-Фосфорная кислота,Антиокислители,"Орто-Фосфорная кислота (Orthophosphoric acid)",halal,
E339,Фосфаты натрия,Антиокислители,"Фосфаты натрия (Sodium phosphates), Орто-Фосфат наттрия 1-замещенный (Monosodium orthophosphate), Орто-Фосфат натрия 2-замещенный (Disodium orthophosphate), Орто-Фосфат натрия 3-замещенный (Trisodium orthophosphate)",halal,
E340,Фосфаты калия,Антиокислители,"Фосфаты калия (Potassium phosphates), Орто-Фосфат каллия 1-замещенный (Monopotassium orthophosphate), Орто-Фосффат калия 2-замещенный (Dipotassium orthophosphate), ОртоФосфат калия 3-замещенный (Tripotassium orthophosphate)",halal,
E341,Фосфаты кальция,Антиокислители,"Фосфаты кальция (Calcium phosphates), Орто-Фосфат кальция 1-замещенный (Monocalcium orthophosphate), ОртоФосфат кальция 2-замещенный (Dicalcium orthophosphate), Орто-Фосфат кальция 3-замещенный (Tricalcium orthophosphat- te)",halal,
E342,Фосфаты аммония,Антиокислители,"Фосфаты аммония (Ammonium phosphates), Орто-Фосфат аммония 1-замещенный (Monoammonium orthophosphate), ОртоФосфат аммония 2-замещенный (Diammonium orthophosphate)",halal,
E343,Фосфаты магния,Антиокислители,"Фосфаты магния (Magnesium phosphates), Орто-Фосфат магния 1-замещенный (Monomagnesium orthophosphate), ОртоФосфат магния 2-замещенный (Dimagnesium orthophosphate), Орто-Фосфат магния 3-замещенный (Trimagnesium orthophospha- ate)",halal,
E345,Цитрат магния,Антиокислители,"Цитрат магния (Magnesium citrate)",halal,
E349,Малат аммония,Антиокислители,"Малат аммония (Ammonium malate)",halal,
E350,Малаты натрия,Антиокислители,"Малаты натрия (Sodium malates), Малат натрия 1-замещщенный (Sodium hydrogen malate), Малат натрия (Sodium malate)",halal,
E351,Малаты калия,Антиокислители,"Малаты калия (Potassium malates), Малат калия 1-замещенный (Potassium hydrogen malate), Малат калия (Potassium malate). Регулятор кислотности. Халяль.",halal,
E352,Малаты кальция,Антиокислители,"Малаты кальция (Calcium malates), Малат кальция 1-замещенный (Calcium hydrogen malate), Малат кальция (Calcium malate). Регулятор кислотности. Халяль.",halal,
E353,Мета-Винная кислота,Антиокислители,"Мета-Винная кислота (Metatartaric acid). Регулятор кислотности. Халяль.",halal,
E354,Тартрат кальция,Антиокислители,"Тартрат кальция (Calcium tartrate). Регулятор кислотности. Халяль.",halal,
E355,Адипиновая кислота,Антиокислители,"Адипиновая кислота (Adipic acid). Регулятор кислотности. Халяль.",halal,
E356,Адипаты натрия,Антиокислители,"Адипаты натрия (Sodium adipates). Регулятор кислотности. Халяль.",halal,
E357,Адипаты калия,Антиокислители,"Адипаты калия (Potassium adipates). Регулятор кислотности. Халяль.",halal,
E359,Адипаты аммония,Антиокислители,"Адипаты аммония (Ammonium adipates). Регулятор кислотности. Халяль.",halal,
E363,Янтарная кислота,Антиокислители,"Янтарная кислота (Succinic acid). Регулятор кислотности. Халяль.",halal,
E365,Фумараты натрия,Антиокислители,"Фумараты натрия (Sodium fumarates). Регулятор кислотности. Халяль.",halal,
E366,Фумараты калия,Антиокислители,"Фумараты калия (Potassium fumarates). Регулятор кислотности. Халяль.",halal,
E367,Фумараты кальция,Антиокислители,"Фумараты кальция (Calcium fumarates). Регулятор кислотности. Халяль.",halal,
E368,Фумараты аммония,Антиокислители,"Фумараты аммония (Ammonium fumarate). Регулятор кислотности. Халяль.",halal,
E375,Никотиновая кислота,Антиокислители,"Никотиновая кислота (Nicotinic acid). Стабилизатор цвета. Халяль.",halal,
E380,Цитраты аммония,Антиокислители,"Цитраты аммония (Ammonium citrates). Регулятор кислотности. Халяль.",halal,
E381,Цитрат аммония-железа,Антиокислители,"Цитрат аммония-железа (Ferric ammonium citrate). Регулятор кислотности. Халяль.",halal,
E383,Глицерофосфат кальция,Антиокислители,"Глицерофосфат кальция (Calcium Glycerophosphate). Стабилизатор, загуститель. Халяль.",halal,
E384,Изопропилцитратная смесь,Антиокислители,"Изопропилцитратная смесь (Isopropyl citrates). Добавка препятствующая слеживанию и комкованию. Халяль.",halal,
E385,Этилендиаминтетраацетат кальция-натрия,Антиокислители,"Этилендиаминтетраацетат кальция-натрия (Calcium disodium ethylenediamine-tetra-acetate). Антиокислитель, консервант, комплексообразователь. Халяль.",halal,
E386,Этилендиаминтетраацетат динатрий,Антиокислители,"Этилендиаминтетраацетат динатрий (Disodium ethylenediamine-tetra-acetate). Синергист антиокислителя, консервант, комплексообразователь. Халяль.",halal,
E387,Оксистеарин,Антиокислители,"Оксистеарин (Oxystearin). Антиокислитель, комплексообразователь. Халяль.",halal,
E391,Фитиновая кислота,Антиокислители,"Фитиновая кислота (Phytic acid). Aнтиокислитель. Халляль. * * *",undefined,
E400,,Стабилизаторы,,undefined,
E499,,Стабилизаторы,"Сохраняют заданную консистенцию. Загустители. Повышают вязкость",undefined,
E400,Альгиновая кислота,Стабилизаторы,"Альгиновая кислота (Alginic acid). Загуститель, стабилизатор. Халяль.",halal,
E401,Альгинат натрия,Стабилизаторы,"Альгинат натрия (Sodium alginate). Загуститель, стабилизатор. Халяль.",halal,
E402,Альгинат калия,Стабилизаторы,"Альгинат калия (Potassium alginate). Загуститель, стабилизатор. Халяль.",halal,
E403,Альгинат аммония,Стабилизаторы,"Альгинат аммония (Ammonium alginate). Загуститель, стабилизатор. Халяль.",halal,
E404,Альгинат кальция,Стабилизаторы,"Альгинат кальция (Calcium alginate). Загуститель, стабилизатор, пеногаситель. Халяль.",halal,
E405,Пропиленгликольальгинат,Стабилизаторы,"Пропиленгликольальгинат (Propylene glycol alginate). Загуститель, эмульгатор. Халяль.",halal,
E406,Агар,Стабилизаторы,"Агар (Agar). Загуститель, стабилизатор, желирующий агент. Халяль.",halal,
E407,Каррагинан,Стабилизаторы,"Каррагинан и его натриевая, калиевая, аммонийная соли, включая фурцеллеран (Carrageenan and its Na, К, NH4 salts includes furcellaran). Загуститель, стабилизатор, желирующий агент. Халяль. Е407а - Каррагинан из водорослей Euchema (Carrageenan pes- Processed euchema seaweed). Загуститель, стабилизатор, желирующий агент. Халяль.",halal,
E409,Арабиногалактан,Стабилизаторы,"Арабиногалактан (Arabinogalactan). Загуститель, стабилизатор, желирующий агент. Халяль.",halal,
E410,Камедь рожкового дерева,Стабилизаторы,"Камедь рожкового дерева (Carob bean gum). Загуститель, стабилизатор. Халяль.",halal,
E411,Овсяная камедь,Стабилизаторы,"Овсяная камедь (Oat gum). Загуститель, стабилизатор. Халяль.",halal,
E412,Гуаровая камедь,Стабилизаторы,"Гуаровая камедь (Guar gum). Загуститель, стабилизатор. Халяль.",halal,
E413,Трагакант камедь,Стабилизаторы,"Трагакант камедь (Tragacanth gum). Загуститель, стабилизатор, эмульгатор. Халяль.",halal,
E414,Гуммиарабик,Стабилизаторы,"Гуммиарабик (Gum arabic, Acacia gum). Загуститель, стабилизатор. Халяль.",halal,
E415,Ксантановая камедь,Стабилизаторы,"Ксантановая камедь (Xantan gum). Загуститель, стабилизатор. Халяль.",halal,
E416,Карайи камедь,Стабилизаторы,"Карайи камедь (Karaya gum). Загуститель, стабилизатор. Халяль.",halal,
E417,Тары камедь,Стабилизаторы,"Тары камедь (Таrа gum). Загуститель, стабилизатор. Халляль.",undefined,
E418,Геллановая камедь,Стабилизаторы,"Геллановая камедь (Gellan gum). Загуститель, стабилизатор, желирующий агент. Халяль.",halal,
