Code;Name;Category;Description;Status
E317;;Антиокислители;Изоаскорбат калия (Potassim isoascorbate). Aнтиокислиттель. Халяль.;Халяль
E318;;Антиокислители;Изоаскорбат кальция (Calcium isoascorbate). Aнтиокислиттель. Халяль.;Халяль
E319;;Антиокислители;Трет-Бутилгидрохинон (Tertiary-butylhydroquinone). Aнтиоокислитель. Халяль.;Халяль
E320;;Антиокислители;Бутилгидроксианизол (Butylated hydroxyanisole). Aнтиоккислитель. Халяль.;Халяль
E321;;Антиокислители;Бутилгидрокситолуол, «Ионол» (Butylated hydroxytoluene. Aнтиокислитель. Халяль.;Халяль
E322;;Антиокислители;Лецитины, фосфатиды (Lecithins). Aнтиокислитель, эмульгатор. Халяль.;Халяль
E323;;Антиокислители;Аноксомер (Anoxomer). Aнтиокислитель. Халяль.;Халяль
E325;;Антиокислители;Лактат натрия (Sodium lactate). Синергист антиокислителля, влагоудерживающий агент, наполнитель. Халяль.;Халяль
E326;;Антиокислители;Лактат калия (Potassium lactate). Синергист антиокислителля, регулятор кислотности. Халяль.;Халяль
E327;;Антиокислители;Лактат кальция (Calcium lactate). Регулятор кислотности, улучшитель муки и хлеба. Халяль.;Халяль
E328;;Антиокислители;Лактат аммония (Ammonium lactate). Регулятор кислотнности, улучшитель муки и хлеба. Халяль.;Халяль
E329;;Антиокислители;Лактат магния, DL- (Magnesium lactate, DL-). Регулятор кислотности, улучшитель муки и хлеба. Халяль.;Халяль
E330;;Антиокислители;Лимонная кислота (Citric acid). Регулятор кислотности, антиокислитель, комплексообразователь. Халяль.;Халяль
E331;;Антиокислители;Цитраты натрия (Sodium citrates), Цитрат натрия 1-замещщенный (Sodium dihydrogen citrate), Цитрат натрия 2-замещеннный (Disodium monohydrogen citrate), Цитрат натрия 3-замещеннный (Trisodium citrate). Регулятор кислотности, эмульгатор, стаббилизатор, комплексообразователь. Халяль.;Халяль
E332;;Антиокислители;Цитраты калия (Potassium citrates), Цитрат калия 2-замещ- щенный (Potassium dihydrogen citrate), Цитрат калия 3-замещеннный (Tripotassium citrate). Регулятор кислотности, стабилизатор, комплексообразователь. Халяль.;Халяль
E333;;Антиокислители;Цитраты кальция (Calcium citrates). Регулятор кислотноссти, стабилизатор консистенции, комплексообразователь. Халляль.;Не определено
E334;;Антиокислители;Винная кислота, L(+)- (Tartaric acid, L(+)-). Регулятор кисллотности, синергист антиокислителей, комплексообразователь. Халяль.;Халяль
E335;;Антиокислители;Тартраты натрия (Sodium tartrates), Тартрат натрия 1-заммещенный (Monosodium tartrate), Тартрат натрия 2-замещенный (Disodium tartrate). Стабилизатор, комплексообразователь. Халляль.;Не определено
E336;;Антиокислители;Тартраты калия (Potassium tartrates), Тартрат калия 1-заммещенный (Monopotassium tartrate), Тартрат калия 2-замещеннный (Dipotassium tartrate). Стабилизатор, комплексообразоваттель. Халяль.;Халяль
E337;;Антиокислители;Тартрат калия-натрия (Potassium sodium tartrate). Стабиллизатор, комплексообразователь. Халяль.;Халяль
E338;;Антиокислители;Орто-Фосфорная кислота (Orthophosphoric acid). Регуляттор кислотности, синергист антиокислителей. Халяль.;Халяль
E339;;Антиокислители;Фосфаты натрия (Sodium phosphates), Орто-Фосфат наттрия 1-замещенный (Monosodium orthophosphate), Орто-Фосфат натрия 2-замещенный (Disodium orthophosphate), Орто-Фосфат натрия 3-замещенный (Trisodium orthophosphate). Регулятор кисллотности, эмульгатор, текстуратор, влагоудерживающий агент, стабилизатор, комплексообразователь. Халяль.;Халяль
E340;;Антиокислители;Фосфаты калия (Potassium phosphates), Орто-Фосфат каллия 1-замещенный (Monopotassium orthophosphate), Орто-Фосффат калия 2-замещенный (Dipotassium orthophosphate), ОртоФосфат калия 3-замещенный (Tripotassium orthophosphate). Регулятор кислотности, эмульгатор, влагоудерживающий агент, стабилизатор, комплексообразователь. Халяль.;Халяль
E341;;Антиокислители;Фосфаты кальция (Calcium phosphates), Орто-Фосфат кальция 1-замещенный (Monocalcium orthophosphate), ОртоФосфат кальция 2-замещенный (Dicalcium orthophosphate), Орто-Фосфат кальция 3-замещенный (Tricalcium orthophosphat- te). Регулятор кислотности улучшитель муки и хлеба, стабилиззатор, отвердитель, текстуратор, разрыхлитель, добавка, преппятствующая слеживанию и комкованию, влагоудерживающий агент. Халяль.;Халяль
E342;;Антиокислители;Фосфаты аммония (Ammonium phosphates), Орто-Фосфат аммония 1-замещенный (Monoammonium orthophosphate), ОртоФосфат аммония 2-замещенный (Diammonium orthophosphate). Регулятор кислотности, улучшитель муки и хлеба. Халяль.;Халяль
E343;;Антиокислители;Фосфаты магния (Magnesium phosphates), Орто-Фосфат магния 1-замещенный (Monomagnesium orthophosphate), ОртоФосфат магния 2-замещенный (Dimagnesium orthophosphate), Орто-Фосфат магния 3-замещенный (Trimagnesium orthophospha- ate). Регулятор кислотности, добавка, препятствующая слеживванию и комкованию. Халяль.;Халяль
E345;;Антиокислители;Цитрат магния (Magnesium citrate). Регулятор кислотноссти. Халяль.;Халяль
E349;;Антиокислители;Малат аммония (Ammonium malate). Регулятор кислотнности. Халяль.;Халяль
E350;;Антиокислители;Малаты натрия (Sodium malates), Малат натрия 1-замещщенный (Sodium hydrogen malate), Малат натрия (Sodium malate). Регулятор кислотности, влагоудерживающий агент. Халяль.;Халяль
E351;;Антиокислители;Малаты калия (Potassium malates), Малат калия 1-замещщенный (Potassium hydrogen malate), Малат калия (Potassium malate). Регулятор кислотности. Халяль.;Халяль
E352;;Антиокислители;Малаты кальция (Calcium malates), Малат кальция 1-заммещенный (Calcium hydrogen malate), Малат кальция (Calcium malate). Регулятор кислотности. Халяль.;Халяль
E353;;Антиокислители;Мета-Винная кислота (Metatartaric acid). Регулятор кисллотности. Халяль.;Халяль
E354;;Антиокислители;Тартрат кальция (Calcium tartrate). Регулятор кислотноссти. Халяль.;Халяль
E355;;Антиокислители;Адипиновая кислота (Adipic acid). Регулятор кислотности. Халяль.;Халяль
E356;;Антиокислители;Адипаты натрия (Sodium adipates). Регулятор кислотноссти. Халяль.;Халяль
E357;;Антиокислители;Адипаты калия (Potassium adipates). Регулятор кислотнности. Халяль.;Халяль
E359;;Антиокислители;Адипаты аммония (Ammonium adipates). Регулятор кисллотности. Халяль.;Халяль
E363;;Антиокислители;Янтарная кислота (Succinic acid). Регулятор кислотности. Халяль.;Халяль
E365;;Антиокислители;Фумараты натрия (Sodium fumarates). Регулятор кислотнности. Халяль.;Халяль
E366;;Антиокислители;Фумараты калия (Potassium fumarates). Регулятор кислотнности. Халяль.;Халяль
E367;;Антиокислители;Фумараты кальция (Calcium fumarates). Регулятор кислотнности. Халяль.;Халяль
E368;;Антиокислители;Фумараты аммония (Ammonium fumarate). Регулятор кисллотности. Халяль.;Халяль
E375;;Антиокислители;Никотиновая кислота (Nicotinic acid). Стабилизатор цвета. Халяль.;Халяль
E380;;Антиокислители;Цитраты аммония (Ammonium citrates). Регулятор кислотнности. Халяль.;Халяль
E381;;Антиокислители;Цитрат аммония-железа (Ferric ammonium citrate). Регуллятор кислотности. Халяль.;Халяль
E383;;Антиокислители;Глицерофосфат кальция (Calcium Glycerophosphate). Стабилизатор, загуститель. Халяль.;Халяль
E384;;Антиокислители;Изопропилцитратная смесь (Isopropyl citrates). Добавка препятствующая слеживанию и комкованию. Халяль.;Халяль
E385;;Антиокислители;Этилендиаминтетраацетат кальция-натрия (Calcium disod- dium ethylenediamine-tetra-acetate). Антиокислитель, консервант, комплексообразователь. Халяль.;Халяль
E386;;Антиокислители;Этилендиаминтетраацетат динатрий (Disodium ethylene- diamine-tetra-acetate). Синергист антиокислителя, консервант, комплексообразователь. Халяль.;Халяль
E387;;Антиокислители;Оксистеарин (Oxystearin). Антиокислитель, комплексооббразователь. Халяль.;Халяль
E391;;Антиокислители;Фитиновая кислота (Phytic acid). Aнтиокислитель. Халляль. * * *;Не определено
E400;–;Стабилизаторы;;Не определено
E499;Стабилизаторы;Стабилизаторы;Сохраняют заданную консистенцию. Загустители. Повышают вязкость;Не определено
E400;;Стабилизаторы;Альгиновая кислота (Alginic acid). Загуститель, стабилиззатор. Халяль.;Халяль
E401;;Стабилизаторы;Альгинат натрия (Sodium alginate). Загуститель, стабилиззатор. Халяль.;Халяль
