Code;Name;Category;Description;Status
E461;;Стабилизаторы;Метилцеллюлоза (Methyl cellulose). Эмульгатор, загуститтель, стабилизатор. Халяль.;Халяль
E462;;Стабилизаторы;Этилцеллюлоза (Ethyl cellulose). Наполнитель, связующщий агент. Халяль.;Халяль
E463;;Стабилизаторы;Гидроксипропилцеллюлоза (Hydroxypropyl cellulose). Эмульгатор, загуститель. Халяль.;Халяль
E464;;Стабилизаторы;Гидроксипропилметилцеллюлоза (Hydroxypropyl, загуститтель, methyl cellulose). Эмульгатор, стабилизатор. Халяль.;Халяль
E465;;Стабилизаторы;Метилэтилцеллюлоза (Methyl ethyl cellulose). загуститель, эмульгатор, стабилизатор, пенообразователь. Халяль.;Халяль
E466;;Стабилизаторы;Карбоксиметилцеллюлоза натриевая соль (Sodium carbo- oxymethyl cellulose). загуститель, стабилизатор. Халяль.;Халяль
E467;;Стабилизаторы;Этилгидроксиэтилцеллюлоза (Ethylhydroxyethyl cellulose). эмульгатор, загуститель, стабилизатор слеживанию и комкованнию. Халяль.;Халяль
E468;;Стабилизаторы;Кроскарамеллоза (Croscaramellose). стабилизатор, связзующее вещество. Халяль.;Халяль
E469;;Стабилизаторы;Карбоксиметилцеллюлоза ферментативно гидролизованнная. загуститель, стабилизатор. Халяль.;Халяль
E471;;Стабилизаторы;Моно- и диглицериды жирных кислот (Mono- and diglycer- rides of fatty acids). Эмульгатор, стабилизатор. Сомнительное. Может быть произведен из животного сырья.;Сомнительное
E472A;;Стабилизаторы;Глицерина и уксусной и жирных кислот эфиры (Aceti- ic and fatty acid esters of glycerol). эмульгатор, стабилизатор, комплексообразователь. Сомнительное. Может быть произведден из животного сырья.;Сомнительное
E472B;;Стабилизаторы;Глицерина и молочной и жирных кислот эфиры (Lact- tic and fatty acid esters of glycerol). эмульгатор, стабилизатор, комплексообразователь. Сомнительное. Может быть произвед- ден из животного сырья.;Сомнительное
E472C;;Стабилизаторы;Глицерина и лимонной кислоты и жирных кислот эфиры (Citric and fatty acid esters of glycerol). эмульгатор, стабилизатор, комплексообразователь. Сомнительное. Может быть произведден из животного сырья.;Сомнительное
E472D;;Стабилизаторы;Моно- и диглицериды жирных кислот и винной кислотты, эфиры (Tartaric acid esters of Mono- and diglycerides of fatty acids). эмульгатор, стабилизатор, комплексообразователь. Соммнительное. Может быть произведен из животного сырья.;Не определено
E472G;;Стабилизаторы;Моноглицеридов и янтарной кислоты эфиры (Suc- ccinylated monoglycerides). эмульгатор, стабилизатор, комплексообразователь. Сомнительное. Может быть произведден из животного сырья.;Сомнительное
E472E;;Стабилизаторы;Глицерина и диацетилвинной и жирных кислот эфирры (Diacetyltartaric and fatty acid esters of glycerol). эмульгатор, стабилизатор, комплексообразователь. Сомнительное. Может быть произведен из животного сырья.;Сомнительное
E472F;;Стабилизаторы;Глицерина и винной, уксусной и жирных кислот смешаннные эфиры (Mixed tartaric, acetic and fatty acid esters of glycerol). эмульгатор, стабилизатор, комплексообразователь. Сомниттельное. Может быть произведен из животного сырья.;Сомнительное
E473;;Стабилизаторы;Сахарозы и жирных кислот, эфиры (Sucrose esters of fatty acids). эмульгатор. Халяль.;Халяль
E474;;Стабилизаторы;Caxapoглицериды (Sucroglycerides). эмульгатор. Халляль.;Не определено
E475;;Стабилизаторы;Полиглицерина и жирных кислот эфиры (Polyglycerol este- ers of fatty acids). эмульгатор. Халяль.;Халяль
E476;;Стабилизаторы;Полиглицерина и взаимоэтерифицированных рициноловвых кислот эфиры (Polyglycerol esters of interesterified ricinoleic acid). эмульгатор. Халяль.;Халяль
E477;;Стабилизаторы;Пропиленгликоля и жирных кислот эфиры (Propylene glyc- col esters of fatty acids). эмульгатор. Халяль.;Халяль
E478;;Стабилизаторы;Лактилированных жирных кислот глицерина и пропиленггликоля эфиры (Lactylated fatty esters of glycerol and propylene glycol). эмульгатор. Сомнительное. Может быть произведен из животного сырья.;Сомнительное
E479;;Стабилизаторы;Термически окисленное соевое масло с моно- и диглиццеридами жирных кислот (Thermally oxidized soya bean oil with mono- and di-glycerides of fatty acids). эмульгатор. Халяль.;Халяль
E480;;Стабилизаторы;Диоктилсульфосукцинат натрия (Dioctyl sodium sulphosucc- cinate). эмульгатор, увлажняющий агент. Халяль.;Халяль
E481;;Стабилизаторы;Лактилаты натрия (Sodium lactylates), Стеароиллактилат натрия (Sodium stearoyl lactylate), Олеиллактилат натрия (Sodiu- um oleyl lactylate monostearate). Эмульгатор, стабилизатор. Халляль.;Не определено
E482;;Стабилизаторы;Лактилаты кальция (Calcium lactylates). Эмульгатор, стаббилизатор. Халяль.;Халяль
E483;;Стабилизаторы;Стеарилтартрат (Stearyl tartrate). улучшитель для муки и хлеба. Халяль.;Халяль
E484;;Стабилизаторы;Стеарилцитрат (Stearyl citrate). эмульгатор, комплексооббразователь. Халяль.;Халяль
E491;;Стабилизаторы;Сорбитан моностеарат, СПЭН 60 (Sorbitan monostearate). эмульгатор. Халяль.;Халяль
E492;;Стабилизаторы;Сорбитан тристеарат (Sorbitan tristearate). эмульгатор. Халяль.;Халяль
E493;;Стабилизаторы;Сорбитан монолаурат, СПЭН 20 (Sorbitan monolaurate). эмульгатор. Халяль.;Халяль
E494;;Стабилизаторы;Сорбитан моноолеат, СПЭН 80 (Sorbitan monooleate). эмульгатор. Халяль.;Халяль
E495;;Стабилизаторы;Сорбитан монопальмитат, СПЭН 40 (Sorbitan monopalmi- itate). эмульгатор. Халяль.;Халяль
E496;;Стабилизаторы;Сорбитан триолеат, СПЭН 85 (Sorbitan trioleat). Эмульгаттор, стабилизатор. Халяль.;Халяль
E500;–;Эмульгаторы;;Не определено
E599;Эмульгаторы;Эмульгаторы;Создают однородную смесь несмешиваемых фаз, например, воды и масла;Не определено
E500;;Эмульгаторы;Карбонаты натрия (Sodium carbonates), Карбонат натрия (Sodium carbonate), Гидрокарбонат натрия (Sodium hydrogen car- rbonate), Смесь карбоната и гидрокарбоната натрия (Sodium ses- squicarbonate). регулятор кислотности, разрыхлитель добавка, препятствующая слеживанию и комкованию. Халяль.;Халяль
E501;;Эмульгаторы;Карбонаты калия (Potassium carbonates), Карбонат калия (Potassium carbonate), Гидрокарбонат калия (Potassium hydrogen carbonate). регулятор кислотности, стабилизатор. Халяль.;Халяль
E503;;Эмульгаторы;Карбонаты аммония (Ammonium carbonates), Карбонат аммония (Ammonium carbonate), Гидрокарбонат аммония (Amm- monium hydrogen carbonate). регулятор кислотности, разрыхлиттель. Халяль.;Халяль
E504;;Эмульгаторы;Карбонаты магния (Magnesium carbonates), Карбонат магнния (Magnesium carbonate), Гидрокарбонат магния (Magnesium hydrogen carbonate). Регулятор кислотности, добавка, препятсствующая слеживанию и комкованию, стабилизатор цвета. Халляль.;Не определено
E505;;Эмульгаторы;Карбонат железа (Ferrous carbonat). регулятор кислотноссти. Халяль.;Халяль
E507;;Эмульгаторы;Соляная кислота (Hydrochloric acid). регулятор кислотноссти. Халяль.;Халяль
E508;;Эмульгаторы;Хлорид калия (Potassium chloride). желирующий агент. Халяль.;Халяль
E509;;Эмульгаторы;Хлорид кальция (Calcium chloride). отвердитель. Халляль.;Не определено
E510;;Эмульгаторы;Хлорид аммония (Ammonium chloride). улучшитель для муки и хлеба. Халяль.;Халяль
E511;;Эмульгаторы;Хлорид магния (Magnesium chloride). отвердитель. Халляль.;Не определено
E513;;Эмульгаторы;Серная кислота (Sulphuric acid). регулятор кислотности. Халяль.;Халяль
E514;;Эмульгаторы;Сульфаты натрия (Sodium sulphates). регулятор кислотнности. Халяль.;Халяль
E515;;Эмульгаторы;Сульфаты калия (Potassium sulphates). регулятор кислотнности. Халяль.;Халяль
E516;;Эмульгаторы;Сульфаты кальция (Calcium sulphate). улучшитель муки и хлеба, комплексообразователь, отвердитель. Халяль.;Халяль
E517;;Эмульгаторы;Сульфаты аммония (Ammonium sulphate). улучшитель муки и хлеба, стабилизатор. Халяль.;Халяль
E518;;Эмульгаторы;Сульфаты магния (Magnesium sulphate). отвердитель. Халяль.;Халяль
E519;;Эмульгаторы;Сульфат меди (Cupric sulphate). фиксатор цвета, консерввант. Халяль.;Халяль
E520;;Эмульгаторы;Сульфат алюминия (Aluminium sulphate). отвердитель. Халяль.;Халяль
E521;;Эмульгаторы;Сульфат алюминия-натрия, квасцы алюмонатриевые (Аlu- uminium sodium sulphate). отвердитель. Халяль.;Халяль
E522;;Эмульгаторы;Сульфат алюминия-калия, квасцы алюмокалиевые (Аlum- minium potassium sulphate). регулятор кислотности, стабилизаттор. Халяль.;Халяль
E523;;Эмульгаторы;Сульфат алюминия-аммония, квасцы алюмоаммиачные (Аluminium ammonium sulphate). стабилизатор, отвердитель. Халляль.;Не определено
E524;;Эмульгаторы;Гидроксид натрия (Sodium hydroxide). регулятор кислотнности. Халяль.;Халяль
E525;;Эмульгаторы;Гидроксид калия (Potassium hydroxide). регулятор кислотнности. Халяль.;Халяль
E526;;Эмульгаторы;Гидроксид кальция (Calcium hydroxide). регулятор кислотнности, отвердитель. Халяль.;Халяль
E527;;Эмульгаторы;Гидроксид аммония (Ammonium hydroxide). регулятор кислотности. Халяль.;Халяль
E528;;Эмульгаторы;Гидроксид магния (Magnesium hydroxide). регулятор кисллотности, стабилизатор цвета, регулятор кислотности, стабилиззатор цвета. Халяль.;Халяль
E529;;Эмульгаторы;Оксид кальция (Calcium oxide). регулятор кислотности, улучшитель муки и хлеба. Халяль.;Халяль
E530;;Эмульгаторы;Оксид магния (Magnesium oxide). добавка, препятствующщая слеживанию и комкованию. Халяль.;Халяль
E535;;Эмульгаторы;Ферроцианид натрия (Sodium ferrocyamde). добавка, преппятствующая слеживанию и комкованию. Халяль.;Халяль
E536;;Эмульгаторы;Ферроцианид калия (Potassium ferrocyanide). добавка, препятствующая слеживанию и комкованию. Халяль.;Халяль
E538;;Эмульгаторы;Ферроцианид кальция (Calcium ferrocyanide). добавка, препятствующая слеживанию и комкованию. Халяль.;Халяль
E539;;Эмульгаторы;Тиосульфат натрия (Sodium thiosulphate). антиокислитель, комплексообразователь. Халяль.;Халяль
E541;;Эмульгаторы;Алюмофосфат натрия (Sodium aluminium phosphate), Кисллотный (Acidis), Основной (Basic). регулятор кислотности, эмульггатор. Халяль.;Халяль
E542;;Эмульгаторы;Фосфат костный (фосфат кальция) (Bone phosphate) (ess- sentiale Calcium phosphate tribasic). эмульгатор, добавка, преппятствующая слеживанию и комкованию, влагоудерживающий агент. Харам. Производится из костей.;Харам
E550;;Эмульгаторы;Силикаты натрия (Sodium silicates), Силикат натрия (Sodi- ium silicate), Мета-cиликат натрия (Sodium metasilicate). добавка, препятствующая слеживанию и комкованию. Халяль.;Халяль
E551;;Эмульгаторы;Диоксид кремния аморфный (Silicon dioxide amorphous). добавка, препятствующая слеживанию и комкованию. Халяль.;Халяль
E552;;Эмульгаторы;Силикат кальция (Calcium silicate). добавка, препятствующщая слеживанию и комкованию. Халяль.;Халяль
E553;;Эмульгаторы;Силикаты магния (Magnesium silicates), Силикат магния (Magnesium silicate), Трисиликат магния (Magnesium trisilicate), Тальк (Talc). добавка, препятствующая слеживанию и комкованнию. Халяль.;Халяль
E554;;Эмульгаторы;Алюмосиликат натрия (Sodium aluminosilicat). добавка, препятствующая слеживанию и комкованию. Халяль.;Халяль
E555;;Эмульгаторы;Алюмосиликат калия (Potassium aluminium silicate). добавкка, препятствующая слеживанию и комкованию. Халяль.;Халяль
E556;;Эмульгаторы;Алюмосиликат кальция (Calcium aluminium silicate). добавкка, препятствующая слеживанию и комкованию. Халяль.;Халяль
E558;;Эмульгаторы;Бентонит (Bentonite). добавка, препятствующая слеживаннию и комкованию. Халяль.;Халяль
E559;;Эмульгаторы;Алюмосиликат (Aluminium silicate). добавка, препятствующщая слеживанию и комкованию. Халяль.;Халяль
E560;;Эмульгаторы;Силикат калия (Potassium silicate). добавка, препятствующщая слеживанию и комкованию. Халяль.;Халяль
E570;;Эмульгаторы;Жирные кислоты (Fatty acids). стабилизатор пены, глазиррователь, пеногаситель. Халяль.;Халяль
E574;;Эмульгаторы;Глюконовая кислота (D-) (Gluconic acid (D-). регулятор кислотности, разрыхлитель. Халяль.;Халяль
E575;;Эмульгаторы;Глюконо-дельта лактон (Glucono delta-lactone). Регулятор кислотности, разрыхлитель. Халяль.;Халяль
E576;;Эмульгаторы;Глюконат натрия (Sodium gluconate). комплексообразоваттель. Халяль.;Халяль
E577;;Эмульгаторы;Глюконат калия (Potassium gluconate). комплексообразовватель. Халяль.;Халяль
E578;;Эмульгаторы;Глюконат кальция (Calcium gluconate). регулятор кислотнности, отвердитель. Халяль.;Халяль
E579;;Эмульгаторы;Глюконат железа (Ferrous gluconate). стабилизатор окрасски. Халяль.;Халяль
E580;;Эмульгаторы;Глюконат магния (Magnesium gluconate). регулятор кисллотности, отвердитель. Халяль.;Халяль
E585;;Эмульгаторы;Лактат железа (Ferrous lactate). стабилизатор окраски. Халяль.;Халяль
E600;–;Усилители вкуса;;Не определено
E699;Усилители вкуса и аромата;Усилители вкуса;;Не определено
E620;;Усилители вкуса;Глутаминовая кислота, L(+) (Glutamic acid, L(+). усилиттель вкуса и аромата. Халяль.;Халяль
E621;;Усилители вкуса;Глутамат натрия 1-замещенный (Monosodium glutamate). усилитель вкуса и аромата. Халяль.;Халяль
E622;;Усилители вкуса;Глутамат калия 1-замещенный (Monopotassium Glutamat- te). усилитель вкуса и аромата. Халяль.;Халяль
E623;;Усилители вкуса;Глутамат кальция (Calcium glutamate). усилитель вкуса и аромата. Халяль.;Халяль
E624;;Усилители вкуса;Глутамат аммония 1-замещенный (Monoammonium glutam- mate). усилитель вкуса и аромата. Халяль.;Халяль
E625;;Усилители вкуса;Глутамат магния (Magnesium glutamate). усилитель вкуса и аромата. Халяль.;Халяль
E626;;Усилители вкуса;Гуаниловая кислота (Guanylic acid). усилитель вкуса и аромата. Халяль.;Халяль
E627;;Усилители вкуса;5-Гуанилат натрия 2-замещенный (Disodium 5-guanylate). усилитель вкуса и аромата. Халяль.;Халяль
E628;;Усилители вкуса;5-Гуанилат калия 2-замещенный (Dipotassium S-guanylat- te). усилитель вкуса и аромата. Халяль.;Халяль
E629;;Усилители вкуса;5-Гуанилат кальция (Calcium 5-guanylate). усилитель вкусса и аромата. Халяль.;Халяль
E630;;Усилители вкуса;Инозиновая кислота (Inosimc acid). усилитель вкуса и ароммата. Халяль.;Халяль
E631;;Усилители вкуса;5-Инозинат натрия 2-замещенный (Disodium 5-inosinate). усилитель вкуса и аромата. Халяль.;Халяль
E632;;Усилители вкуса;Инозинат калия (Potassium inosinate). усилитель вкуса и аромата. Халяль.;Халяль
E633;;Усилители вкуса;5-Инозинат кальция (Calcium 5-inosinate). усилитель вкусса и аромата. Халяль.;Халяль
E634;;Усилители вкуса;5-Рибонуклеотиды кальция (Calcium 5-ribonucleotides). усилитель вкуса и аромата. Халяль.;Халяль
E635;;Усилители вкуса;5-Рибонуклеотиды натрия 2-замещенные (Disodium 5-ribo- onucleotides). усилитель вкуса и аромата. Халяль.;Халяль
E636;;Усилители вкуса;Мальтол (Maltol). усилитель вкуса и аромата. Халяль.;Халяль
E637;;Усилители вкуса;Этилмальтол (Ethyl maltol). усилитель вкуса и аромата. Халяль.;Халяль
E640;;Усилители вкуса;Глицин (Glycine). модификатор вкуса и аромата. Халляль.;Не определено
E641;;Усилители вкуса;L-Лейцин (L-Leucine). модификатор вкуса и аромата. Халляль.;Не определено
E642;;Усилители вкуса;Лизин гидрохлорид (Lysin hydrochlorid). усилитель вкуса и аромата. Халяль.;Халяль
E900;–;Пеногасители;;Не определено
E999;Пеногасители;Пеногасители;Предупреждают или снижают образование пены;Не определено
E900;;Пеногасители;Полидиметилсилоксан (Polydimethylsiloxane). пеногаситтель, эмульгатор, добавка, препятствующая слеживанию и комккованию. Халяль.;Халяль
E901;;Пеногасители;Воск пчелиный, белый и желтый (Beeswax white and yellow). Глазирователь, разделитель. Халяль.;Халяль
E902;;Пеногасители;Воск свечной (Candelilla wax). глазирователь. Халяль.;Халяль
E903;;Пеногасители;Воск карнаубский (Carnauba wax). глазирователь. Халляль.;Не определено
E904;;Пеногасители;Шеллак (Shellac). глазирователь. Харам. Призводится из насекомых.;Харам
E905A;;Пеногасители;Вазелиновое масло «пищевое» (Mineral oil food grade). глазирователь, разделитель, герметик. Халяль.;Халяль
E905B;;Пеногасители;Вазелин (Petrolatum). глазирователь, разделитель, гермметик. Халяль.;Халяль
E905C;;Пеногасители;Парафин (Petroleum wax), Микрокристаллический воск (Microcrystalline wax), Парафиновый воск (Paraffin wax). глазировватель, разделитель, герметик. Халяль.;Халяль
E906;;Пеногасители;Бензойная смола (Benzoin gum). глазирователь. Халляль.;Не определено
E908;;Пеногасители;Воск рисовых отрубей (Rice bran wax). глазирователь. Халяль.;Халяль
E909;;Пеногасители;Спермацетовый воск (Spermaceti wax). глазирователь. Халяль.;Халяль
E910;;Пеногасители;Восковые эфиры (Wax esters). Глазирователь. Халяль.;Халяль
E913;;Пеногасители;Ланолин (Lanolin). глазирователь. Халяль.;Халяль
E920;;Пеногасители;Цистеин, L- и его гидрохлориды - натриевая и калиевая соли (Cysteine, L-, and its hydrochlorides - sodium and potassium salts). улучшитель муки и хлеба. Харам. Производится из волос человека, шерсти животных и пера курицы.;Харам
E921;;Пеногасители;Цистин, L-, и его гидрохлориды - натриевая и калиевая соли (Cystine, L-, and its hydrochlorides -sodium and potassium sal- lts). Улучшитель муки и хлеба. Харам. Производится из волос человека, шерсти животных и пера курицы.;Харам
E927A;;Пеногасители;Азодикарбонамид (Azodicarbonamide). улучшитель муки и хлеба. Халяль.;Халяль
E927B;;Пеногасители;Карбамид (мочевина) (Carbamide (urea). текстуратор. Халяль.;Халяль
E928;;Пеногасители;Перекись бензоила (Benzoyl peroxide). улучшитель муки и хлеба, консервант. Халяль.;Халяль
E930;;Пеногасители;Перекись кальция (Calcium peroxide). улучшитель муки и хлеба. Халяль.;Халяль
E938;;Пеногасители;Аргон (Argon). пропеллент, упаковочный газ. Халяль.;Халяль
E939;;Пеногасители;Гелий (Gellium). пропеллент, упаковочный газ. Халяль.;Халяль
E940;;Пеногасители;Дихлордифторметан, (хладон-12) (Dichlorodifluoromethan- ne). пропеллент, хладагент. Халяль.;Халяль
E941;;Пеногасители;Азот (Nitrogen). газовая среда для упаковки и хранения, хладагент. Халяль.;Халяль
E942;;Пеногасители;Закись азота (Nitrous oxide). пропеллент, упаковочный газ. Халяль.;Халяль
E943A;;Пеногасители;Бутан (Butane). пропеллент. Халяль.;Халяль
E943B;;Пеногасители;Изобутан (Isobutane). пропеллент. Халяль.;Халяль
E944;;Пеногасители;Пропан (Propane). пропеллент. Халяль.;Халяль
E945;;Пеногасители;Хлорпентафторэтан (Chloropentafluoroethane). пропелллент. Халяль.;Халяль
E946;;Пеногасители;Октафторциклобутан (Octafluorocyclobutane). пропелллент. Халяль.;Халяль
E948;;Пеногасители;Кислород (Oxygen). пропеллент, упаковочный газ. Халляль.;Не определено
E950;;Пеногасители;Ацесульфам калия (Acesulfame potassium). подсластиттель. Халяль.;Халяль
E951;;Пеногасители;Аспартам (Aspartame). Подсластитель, усилитель вкуса и аромата. Сомнительное. Не рекомендуется беременным женщщинам и кормящим матерям. Противопоказан при фенилкетоннурии.;Сомнительное
E952;;Пеногасители;Цикламовая кислота и ее натриевая, калиевая и кальцциевая соли (Cyclamic acid and Na, К, Са salts). подсластитель. Халяль.;Халяль
E953;;Пеногасители;Изомальт, изомальтит (Isomalt, isomaltitol). Подсластиттель, добавка, препятствующая слеживанию и комкованию, напполнитель, глазирующий агент. Халяль.;Халяль
E954;;Пеногасители;Сахарин (натриевая, калиевая, кальциевая соли) (Sacch- harin and Na, К, Са salts). подсластитель. Халяль.;Халяль
E955;;Пеногасители;Сукралоза (трихлоргалактосахароза) (Sucralose (Trichloro- ogalactosucrose). подсластитель. Халяль.;Халяль
E957;;Пеногасители;Тауматин (Thaumatin). Подсластитель, усилитель вкуса и аромата. Халяль.;Халяль
E958;;Пеногасители;Глицирризин (Glycyrrhizin). Подсластитель, усилитель вкуса и аромата. Халяль.;Халяль
E959;;Пеногасители;Неогесперидин дигидрохалкон (Neohesperidine dihydroch- halcone). подсластитель. Халяль.;Халяль
E960;;Пеногасители;Стевиозид (Stevioside). подсластитель. Халяль.;Халяль
E962;;Пеногасители;Твинсвит (Twinsweet). подсластитель. Халяль.;Халяль
E965;;Пеногасители;Мальтит и мальтитный сироп (Maltitol and maltitol syrup). подсластитель, стабилизатор, эмульгатор. Халяль.;Халяль
E966;;Пеногасители;Лактит (Lactitol). Подсластитель, текстуратор. Халяль.;Халяль
E967;;Пеногасители;Ксилит (Xylitol). подсластитель, влагоудерживающий агент, стабилизатор, эмульгатор. Халяль.;Халяль
E999;;Пеногасители;Квиллайи экстракт (Quillaia extracts). пенообразователь. Халяль. * * *;Халяль
E1000;Вновь формируемая группа, в которую входят глазирующие агенты, подсластители соков и кондитерских изделий, добавки, препятствующие слеживанию сахара, соли, для обработки муки, крахмала и иные;Другое;;Не определено
E1000;;Другое;Холевая кислота (Cholic acid). эмульгатор. Харам.;Харам
E1001;;Другое;Холин, соли и эфиры (Choline salts and esters). эмульгаттор. Харам.;Харам
E1100;;Другое;Амилазы (Amylases). улучшитель муки и хлеба. Харам.;Харам
E1101;;Другое;Протеазы (Proteases), Протеаза (Protease), Папаин (Pap- pain), Бромелайн (Bromelain). Фицин (Ficin). улучшитель муки и хлеба, стабилизатор, ускоритель созревания мяса и рыбы, усиллитель вкуса и аромата. Харам.;Харам
E1102;;Другое;Глюкозооксидаза (Glucose oxidase). антиокислитель. Харам.;Харам
E1103;;Другое;Инвертазы (Invertases). стабилизатор. Харам.;Харам
E1104;;Другое;Липазы (Lipases). усилитель вкуса и аромата. Харам.;Харам
E1105;;Другое;Лизоцим (Lysozyme). консервант. Харам.;Харам
E1200;;Другое;Полидекстрозы А и N (Polydextroses A and N). наполннитель, стабилизатор, загуститель, влагоудерживающий агент, текстуратор. Харам.;Харам
E1201;;Другое;Поливинилпирролидон (Polyvinylpyrrolidone). загуститтель, стабилизатор, осветлитель, диспергирующий агент. Халляль.;Не определено
E1202;;Другое;Поливинилполипирролидон (Poeyvinylpolypyrrolidone). стабилизатор цвета, коллоидальный стабилизатор. Халяль.;Халяль
E1400;;Другое;Декстрины, крахмал, обработанный термически, белый и желтый (Dextrjns, roasted starch, white and yellow). стабилизаттор, загуститель, связующее. Халяль.;Халяль
E1401;;Другое;Крахмал, обработанный кислотой (Acid-treated starch). стабилизатор, загуститель, связующее. Халяль.;Халяль
E1402;;Другое;Крахмал, обработанный щелочью (Alkaline-стабилизаттор, treated starch). стабилизатор, загуститель, связующее. Халляль.;Не определено
E1403;;Другое;Крахмал отбеленный (Bleached starch). стабилизатор, загуститель, связующее. Халяль.;Халяль
E1404;;Другое;Крахмал окисленный (Oxidized starch). стабилизатор, загуститель, связующее. Халяль.;Халяль
E1405;;Другое;Крахмал, обработанный ферментными препаратами (Sta- arches enzime-treated). стабилизатор, загуститель, связующее. Халяль.;Халяль
E1410;;Другое;Монокрахмалфосфат (Monostarch phosphate). стабилиззатор, загуститель, связующее. Халяль.;Халяль
E1411;;Другое;Дикрахмалглицерин «сшитый» (Distarh glicerol). стабиллизатор, загуститель. Халяль.;Халяль
E1412;;Другое;"Дикрахмалфосфат, этерифицированный тринатрийметтафосфатом; этерифицированный хлорокисью фосфора (Distar- rch phosphate esterified with sodium trimetasphosphate; esterified with phosphorus oxychlo-ride). стабилизатор, загуститель, связуюющее. Халяль.";Халяль
E1413;;Другое;Фосфатированный дикрахмалфосфат «сшитый» (Phosp- phated distarch phosphate). стабилизатор, загуститель, связующщее. Халяль.;Халяль
E1414;;Другое;Дикрахмалфосфат ацетилированный «сшитый» (Acetyla- ated distarch phosphate). эмульгатор, загуститель. Халяль.;Халяль
E1420;;Другое;Крахмал ацетатный, этерифицированный уксусным анггидридом (Starch acetate esterified with acetic anhydride). стабиллизатор, загуститель. Халяль.;Халяль
E1421;;Другое;Крахмал ацетатный, этерифицированный винилацетаттом (Starch acetate esterified with vinyl acetate). стабилизатор, заггуститель. Халяль.;Халяль
E1422;;Другое;Дикрахмаладипат ацетилированный (Acetylated distarch adipate). стабилизатор, загуститель, связующее. Халяль.;Халяль
E1423;;Другое;Дикрахмалглицерин ацетилированный (Acetylated distarc- ch glycerol). стабилизатор, загуститель, связующее. Халяль.;Халяль
E1440;;Другое;Крахмал оксипропилированный (Hydroxypropyl starch). эмульгатор, загуститель, связующее. Халяль.;Халяль
E1442;;Другое;Дикрахмалфосфат оксипропилированный «сшитый» (Hydroxypropyl distarch phosphate). стабилизатор, загуститель. Халяль.;Халяль
E1443;;Другое;Дикрахмалглицерин оксипропилированный (Hydroxyprop- pyl distarch glycerol). стабилизатор, загуститель. Халяль.;Халяль
E1450;;Другое;Крахмала и натриевой соли октенилянтарной кислоты эфир (Starch sodium octenyl succinate). стабилизатор, загуститтель, связующее, эмульгатор. Халяль.;Халяль
E1451;;Другое;Крахмал ацетилированный окисленный (Acetilated oxydi- ised starch). эмульгатор, загуститель. Халяль.;Халяль
E1503;;Другое;Касторовое масло (Castor oil). разделяющий агент. Халляль.;Не определено
E1505;;Другое;Триэтилцитрат (Triethyl citrate). пенообразователь. Халляль.;Не определено
E1518;;Другое;Триацетин (Triacetin). влагоудерживающий агент. Халляль.;Не определено
E1520;;Другое;Пропиленгликоль (Propylene glycol). влагоудерживающщий, смягчающий и диспергирующий агент. Халяль.;Халяль
E1521;;Другое;Полиэтиленгликоль (Polyethylene glycol). пеногаситель. Халяль. Группа, не имеющая международной маркировки Аллилгорчичное масло: Консервант. Халяль. N-Лауроилглутаминовая кислота: Консервант, улучшитель муки, хлеба. Халяль. Лауроиласпарагиновая кислота: Консервант, улучшитель муки, хлеба. Халяль. N-Лауроилглицин: Консервант, улучшитель муки, хлеба. Халляль. Ванилин. Вкусоароматическое вещество. Халяль. Дигидрокверцетин: Антиокислитель. Халяль. Имбрицин: Консервант. Халяль. Кверцитин: Антиокислитель. Халяль. Красный для карамели N 1: Краситель. Халяль. Красный для карамели N 2: Краситель. Халяль. Красный для карамели N 3: Краситель. Халяль. Красный рисовый (Red rice): Краситель. Халяль. Солодкового корня (Glycyrrhiza sp.) экстракт: Стабилизатор. Халяль. Мыльного корня (Acantophyllum sp.) отвар, плотность 1,05: Стабилизатор. Халяль. Оксиянт (оксиэтилсукцинат-21): Эмульгатор. Халяль. Поливиниловый спирт: Влагоудерживающий агент. Халяль. Перекись водорода: Консервант. Халяль. Полиоксиэтилен: Осветлитель. Халяль. Сантохин: Консервант. Халяль. Стевия (Stevia rebaudiana Bertoni), порошок листьев и сироп из них: Подсластитель. Халяль. Сукцинаты натрия, калия и кальция: Регуляторы кислотноссти. Халяль. Ультрамарин: Краситель. Халяль. Формиат калия (Potassium formate): Консервант. Халяль. Хитозан, гидрохлорид хитозония: Наполнитель, загуститель, стабилизатор. Харам. Хлорид железа: Улучшитель муки и хлеба. Халяль. Эритрит (Erythritol): Подсластитель. Халяль. Юглон: Консервант. Халяль.;Харам
